0,0,0,30.0,2019,0,1,0,1,1004,19,40,0
1,1,0,12.0,2019,1,1,0,0,354,6,48,0
2,2,1,10.0,2018,0,0,0,0,400,3,47,0
3,3,0,12.0,2019,1,0,0,0,340,15,5,0
4,4,0,12.0,2018,1,0,0,0,252,11,14,0
5,1,0,12.0,2018,1,1,0,0,454,14,15,0
6,5,2,12.0,2019,0,1,0,0,200,8,16,0
7,4,0,12.0,2019,1,0,0,1,150,15,21,0
8,6,1,8.0,2018,0,1,0,0,120,17,1,0
9,7,0,12.0,2017,0,0,0,0,400,12,1,0
10,7,0,12.0,2017,0,0,0,0,400,6,43,0
11,8,3,12.0,2018,1,0,0,0,400,6,29,0
12,8,0,12.0,2017,1,0,0,0,234,13,3,0
13,8,4,8.0,2018,1,0,0,0,345,6,33,0
14,9,3,12.0,2019,0,0,0,0,300,0,37,0
15,10,3,13.0,2019,1,0,0,0,400,8,46,0
16,11,2,12.0,2017,1,0,1,0,456,18,39,0
17,12,5,20.0,2016,2,1,1,0,300,6,26,0
18,12,5,20.0,2019,2,1,1,0,300,13,9,0
19,12,5,20.0,2019,2,1,1,0,300,11,44,0
20,12,5,20.0,2020,2,1,1,0,300,11,31,0
21,12,5,20.0,2019,2,1,1,0,300,16,49,0
22,12,5,20.0,2015,2,1,1,0,300,17,14,0
23,13,0,20.0,2011,3,0,1,1,234,14,26,0
24,14,0,21.0,2017,4,1,0,0,454,14,45,0
25,12,5,20.0,2014,2,1,1,0,300,15,39,0
26,15,0,14.0,2016,5,1,0,1,563,8,48,0
27,16,0,16.0,2017,6,0,0,1,800,10,46,0
28,17,0,12.0,2016,6,0,0,0,300,3,24,0
29,18,0,16.5,2016,6,0,0,1,160,9,29,0
30,15,0,17.0,2016,5,1,0,1,700,17,31,0
31,15,0,11.0,2014,5,1,0,1,356,1,40,0
32,17,0,13.0,2016,6,0,0,0,300,18,25,0
33,19,0,14.0,2016,0,0,0,0,234,14,37,0
34,20,0,14.0,2016,6,0,0,1,355,17,5,0
35,21,0,13.0,2020,7,0,0,0,500,2,9,0
36,22,0,20.0,2017,3,1,1,1,300,13,37,0
37,23,0,13.0,2017,8,0,0,0,250,7,7,1
38,22,0,20.0,2018,3,1,1,1,300,16,45,0
39,16,0,14.0,2018,6,0,0,0,200,15,2,0
40,23,0,13.0,2019,8,0,0,0,200,3,32,0
41,24,0,16.0,2019,9,0,0,1,500,5,22,0
42,25,0,20.0,2020,0,0,0,1,500,6,15,0
43,26,0,22.0,2020,9,0,0,1,640,10,1,0
44,14,0,18.0,2020,4,1,0,0,700,12,22,0
45,27,0,20.0,2020,3,1,1,1,300,2,16,0
46,28,3,14.0,2014,4,1,0,0,540,10,4,0
47,29,3,12.0,2014,6,0,0,0,123,18,30,0
48,30,3,17.0,2018,8,0,0,1,563,8,45,0
49,31,3,10.0,2019,6,0,0,0,567,2,27,1
